feature,importance,abs_importance
cat__sigla_uf_PR,5.3894153214700795,5.3894153214700795
cat__sigla_uf_RS,5.349043289194953,5.349043289194953
cat__sigla_uf_RJ,4.614249660984553,4.614249660984553
cat__sigla_uf_MG,4.587314112833599,4.587314112833599
cat__sigla_uf_SC,4.456061517211645,4.456061517211645
cat__sigla_uf_SP,3.810067218175596,3.810067218175596
cat__sigla_uf_CE,-3.197594822228308,3.197594822228308
cat__sigla_uf_RN,-3.1858249505748653,3.1858249505748653
cat__sigla_uf_ES,3.1802709147500714,3.1802709147500714
cat__sigla_uf_PE,-3.0952322300823205,3.0952322300823205
cat__sigla_uf_SE,-3.045926922502208,3.045926922502208
cat__sigla_uf_TO,-2.982510903906232,2.982510903906232
cat__sigla_uf_AC,-2.977930097988595,2.977930097988595
cat__sigla_uf_AM,-2.976152146121875,2.976152146121875
cat__sigla_uf_PA,-2.9687582695758667,2.9687582695758667
