regiao,sigla_uf,taxa_atingimento_meta
Nordeste,CE,0.0
Norte,AM,0.0
Nordeste,SE,0.0
Nordeste,RN,0.0
Norte,TO,0.0
Norte,PA,0.0
Nordeste,PI,0.016666666666666666
Nordeste,AL,0.016666666666666666
Nordeste,BA,0.016666666666666666
Norte,RO,0.016666666666666666
Norte,AC,0.016666666666666666
Norte,AP,0.020833333333333332
Norte,RR,0.022222222222222223
Nordeste,PE,0.03333333333333333
Nordeste,MA,0.05
Nordeste,PB,0.05
Centro-Oeste,GO,0.3333333333333333
Centro-Oeste,DF,0.3333333333333333
Centro-Oeste,MS,0.36666666666666664
Centro-Oeste,MT,0.38333333333333336
Sudeste,ES,0.8666666666666667
Sudeste,SP,0.9166666666666666
Sul,SC,0.9333333333333333
Sudeste,MG,0.9833333333333333
Sudeste,RJ,0.9833333333333333
Sul,PR,1.0
Sul,RS,1.0
